iter	Passed	Remaining
441	1287	27836
442	1290	27832
443	1292	27827
444	1296	27828
445	1298	27825
446	1301	27824
447	1304	27818
448	1307	27814
449	1310	27810
450	1313	27809
451	1316	27806
452	1319	27802
453	1322	27798
454	1324	27795
455	1327	27792
456	1330	27788
457	1333	27784
458	1336	27780
459	1339	27776
460	1342	27772
461	1345	27768
462	1347	27765
463	1350	27762
464	1353	27759
465	1356	27757
466	1359	27754
467	1362	27750
468	1365	27746
469	1368	27741
470	1371	27739
471	1374	27737
472	1376	27733
473	1379	27728
474	1382	27724
475	1385	27721
476	1388	27718
477	1391	27717
478	1394	27714
479	1397	27710
480	1400	27708
481	1403	27707
482	1405	27703
483	1408	27700
484	1411	27697
485	1414	27694
486	1417	27691
487	1420	27689
488	1423	27687
489	1426	27684
490	1429	27682
491	1432	27680
492	1435	27675
493	1437	27669
494	1440	27665
495	1443	27662
496	1446	27658
497	1449	27656
498	1452	27651
499	1455	27649
500	1458	27647
501	1461	27646
502	1464	27642
503	1466	27640
504	1469	27637
505	1472	27635
506	1475	27633
507	1478	27631
508	1481	27627
509	1484	27628
510	1487	27627
511	1490	27622
512	1493	27624
513	1496	27620
514	1499	27616
515	1502	27616
516	1505	27612
517	1508	27608
518	1511	27606
519	1514	27603
520	1517	27602
521	1520	27601
522	1523	27597
523	1526	27596
524	1528	27594
525	1531	27592
526	1534	27586
527	1537	27581
528	1540	27579
529	1543	27577
530	1546	27574
531	1549	27571
532	1551	27565
533	1554	27562
534	1557	27560
535	1560	27558
536	1563	27554
537	1566	27549
538	1569	27546
539	1572	27545
540	1575	27542
541	1578	27540
542	1581	27537
543	1584	27534
544	1587	27532
545	1590	27532
546	1592	27527
547	1595	27523
548	1598	27519
549	1601	27515
550	1604	27513
551	1607	27508
552	1609	27503
553	1612	27500
554	1615	27496
555	1618	27494
556	1621	27490
557	1624	27487
558	1627	27484
559	1630	27481
560	1633	27478
561	1636	27474
562	1638	27471
563	1641	27467
564	1644	27462
565	1647	27461
566	1650	27458
567	1653	27455
568	1656	27452
569	1659	27448
570	1662	27445
571	1664	27442
572	1667	27438
573	1670	27433
574	1673	27428
575	1676	27422
576	1678	27418
577	1681	27416
578	1684	27412
579	1687	27408
580	1690	27406
581	1693	27407
582	1696	27409
583	1700	27409
584	1703	27411
585	1706	27413
586	1709	27412
587	1712	27414
588	1715	27416
