iter	MAE
1750	0.2296762172
1755	0.2296196384
1760	0.2295567817
1765	0.2294924726
1770	0.2294524005
1775	0.229406722
1780	0.2293671965
1785	0.2293167237
1790	0.2292662353
1795	0.2291536086
1800	0.2291065246
1805	0.2290518666
1810	0.2289821855
1815	0.2288978248
1820	0.2288544732
1825	0.2288288776
1830	0.2287405346
1835	0.2286675428
1840	0.2286292353
1845	0.2285606161
1850	0.2285058956
1855	0.2284712737
1860	0.2284208946
1865	0.2283487929
1870	0.228318528
1875	0.2282457079
1880	0.228189254
1885	0.2281072201
1890	0.2280676009
1895	0.2280246085
1900	0.2279377647
1905	0.2278760792
1910	0.2278331493
1915	0.2277598919
1920	0.227720382
1925	0.2276861661
1930	0.2276613514
1935	0.2276355684
1940	0.2276048662
1945	0.2275642007
1950	0.2275223951
1955	0.22746591
1960	0.2274102837
1965	0.2273433199
1970	0.2272799634
1975	0.2272296156
1980	0.2271866544
1985	0.227149362
1990	0.227098655
1995	0.2270589577
2000	0.2269943675
2005	0.2269328382
2010	0.2268949368
2015	0.2268275982
2020	0.2267790775
2025	0.2267637576
2030	0.2267301976
2035	0.2266721039
2040	0.2266214438
2045	0.2265903199
2050	0.2265250895
2055	0.2264820346
2060	0.2264318898
2065	0.2263638796
2070	0.2263017725
2075	0.2262431479
2080	0.2261858507
2085	0.2261162789
2090	0.2260475503
2095	0.2259911745
2100	0.2259361573
2105	0.225909453
2110	0.2258598704
2115	0.2258016986
2120	0.2257494143
2125	0.2257039389
2130	0.2256572766
2135	0.2256115825
2140	0.225566107
2145	0.2255267376
2150	0.2254767646
2155	0.225446203
2160	0.2253660275
2165	0.2253162262
2170	0.2252593038
2175	0.2251979775
2180	0.2251466302
2185	0.2250752781
2190	0.2250281473
2195	0.2249835308
2200	0.2249406945
2205	0.2249095082
2210	0.2248756983
2215	0.2248151841
2220	0.2247757991
2225	0.2247284028
2230	0.2247085698
2235	0.2246887367
2240	0.2246361557
2245	0.2245880879
2250	0.2245548558
2255	0.2244943728
2260	0.2244509275
2265	0.2244320003
2270	0.2244058425
2275	0.2243849788
2280	0.2243517311
2285	0.2243224188
2290	0.2243015394
2295	0.2242632632
2300	0.2242327484
2305	0.2241877571
2310	0.2241559773
2315	0.2241438745
2320	0.2241111578
2325	0.2240753177
2330	0.2240258757
2335	0.2240097125
2340	0.2239849915
2345	0.2239644869
2350	0.2239495262
2355	0.223921635
2360	0.2238611052
2365	0.2238309496
2370	0.2237942975
2375	0.2237471355
2380	0.2237164177
2385	0.2236459401
2390	0.2236244517
2395	0.2235944522
2400	0.2235556294
2405	0.2235285659
2410	0.223510763
2415	0.2234782337
2420	0.2234524195
2425	0.2234152052
2430	0.2233764761
2435	0.2233526608
2440	0.2233079193
2445	0.2232658327
2450	0.2232287433
2455	0.223202976
2460	0.2231612329
2465	0.2231246901
2470	0.2230721247
2475	0.2230211678
2480	0.222972694
2485	0.2229338868
2490	0.2228965944
2495	0.2228517436
2500	0.2228281626
